Tipo Agregacao;Gestao;Cod UG;Unidade Gestora;Conta Contabil;Conta Corrente;Saldo Calculado
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006707                                  ;-7580
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006712                                  ;-7300
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006713                                  ;-3600
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006714                                  ;-6535,48
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006716                                  ;-5780
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006725                                  ;-6690
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006729                                  ;-1635,9
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006734                                  ;-6700
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006735                                  ;-1290,05
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006748                                  ;-7180
